query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,question_type,n_expected,primary_metric_type,primary_metric_value,expected_response,generated_response
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,177.7,20,20,,bridge,2,f1_score,0.0,,
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,219.2,20,20,,bridge,2,f1_score,0.0,,
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7664,178.8,20,20,,bridge,2,f1_score,0.0,,
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.1,20,20,,bridge,2,f1_score,0.0,,
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,failed,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2372,0.4416,0.4416,222.8,20,20,,bridge,2,f1_score,0.0,,
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7632,178.2,20,20,,comparison,2,f1_score,0.0,,
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,177.6,20,20,,bridge,2,f1_score,0.0,,
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,221.6,20,20,,bridge,2,f1_score,0.0,,
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,138.5,20,20,,bridge,2,f1_score,0.0,,
q_4109,The creator of the Lisa Simpson character was born in what year?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7904,0.7904,175.7,20,20,,bridge,2,f1_score,0.0,,
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,178.1,20,20,,bridge,2,f1_score,0.0,,
q_150,What occupation was shared by David Yates and Pietro Germi?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6509,0.6509,0.6509,133.6,20,20,,comparison,2,f1_score,0.0,,
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7742,176.7,20,20,,bridge,2,f1_score,0.0,,
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,175.4,20,20,,bridge,2,f1_score,0.0,,
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,135.9,20,20,,bridge,2,f1_score,0.0,,
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3869,0.3869,0.5912,0.5912,221.2,20,20,,bridge,2,f1_score,0.0,,
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,136.0,20,20,,bridge,2,f1_score,0.0,,
q_3882,In which six Western European territories have Celtic languages or cultural traits survived?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,179.4,20,20,,bridge,2,f1_score,0.0,,
q_2951,Who is known for composing  American Beauty: Original Motion Picture Score and many other film scores?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,136.4,20,20,,bridge,2,f1_score,0.0,,
q_224,What film was written and directed by Joby Harold with music written by Samuel Sim?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,176.7,20,20,,bridge,2,f1_score,0.0,,
q_902,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?",failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,220.5,20,20,,bridge,2,f1_score,0.0,,
q_1009,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,219.8,20,20,,bridge,2,f1_score,0.0,,
q_6856,What company produced the 1978 movie based on a book written by a radio playwright and children's book author born in 1900?,failed,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2372,0.2372,0.2372,174.8,20,20,,bridge,2,f1_score,0.0,,
q_7251,How many students were enrolled in American professional bowler Chris Barnes' high school in the 2010-2011 school year?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,133.4,20,20,,bridge,2,f1_score,0.0,,
q_654,"Which canal, Miami Canal or Dundee Canal, also supplies hydro-power and water for manufacturing?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177.7,20,20,,comparison,2,f1_score,0.0,,
q_6395,What is the middle name of the singer who recorded Would You Like to Take a Walk? with Louis Armstrong in 1951,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,179.0,20,20,,bridge,2,f1_score,0.0,,
q_1979,What was Richard Connell's best known work The Hounds of Zaroff also published as?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,178.2,20,20,,bridge,2,f1_score,0.0,,
q_2395,The Stone Book series is set in what country? ,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,134.7,20,20,,bridge,2,f1_score,0.0,,
q_3048,Are both Jonathan Marray and Wayne Black British?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,179.1,20,20,,comparison,2,f1_score,0.0,,
q_4120,Sporobolus and Zea are in the same what?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8316,0.8316,177.6,20,20,,comparison,2,f1_score,0.0,,
q_5848,Are Mick Jagger and Brett Scallions both musicians?,failed,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,1.0,0.0,0.0,0.2372,0.2372,0.3768,178.2,20,20,,comparison,2,f1_score,0.0,,
q_2923,"When did Senator Ted Kennedy helped dedicate a new room at the location to his maternal grandfather, John F. Fitzgerald.",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,179.6,20,20,,bridge,2,f1_score,0.0,,
q_4913,Which 8-year old star of an epistolary novel turned musical by Alice Walker also voiced Frankie Greene in a Disney series?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7575,211.9,20,20,,bridge,2,f1_score,0.0,,
q_6818,"Which music group has the most members, DC Talk, or Manchester Orchestra?",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,175.4,20,20,,comparison,2,f1_score,0.0,,
q_680,Orlando Brown is best known for his role as 3J Winslow in an American sitcom that was a spin-off of what?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,172.1,20,20,,bridge,2,f1_score,0.0,,
q_37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,137.5,20,20,,bridge,2,f1_score,0.0,,
q_3201,"Where was the air-cooled version of a weapon system used on the HMAS ""Narani"" found?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,130.1,20,20,,bridge,2,f1_score,0.0,,
q_6650,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,170.7,20,20,,bridge,2,f1_score,0.0,,
q_1606,Did Minersville School District v. Gobitis and Gravel v. United States occur in the same decade?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,173.4,20,20,,comparison,2,f1_score,0.0,,
q_6481,Yakuza Kiwami is a remake of the first video game in what video game series that is an open world action-adventure beat 'em up video game franchise?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,132.9,20,20,,bridge,2,f1_score,0.0,,
q_6982, The 1919 Mississippi gubernatorial election Incumbent Democrat was a master of what?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,209.7,20,20,,bridge,2,f1_score,0.0,,
q_4536,"Are both genera Silphium and Heliotropium, genera of flowering plants ?",failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3066,0.3066,0.511,0.511,166.4,20,20,,comparison,2,f1_score,0.0,,
q_5693,Mexican Indignados Movement is a response to a war also known as?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,126.0,20,20,,bridge,2,f1_score,0.0,,
q_4568,Are Harry Everett Smith and Vladimir Danilevich both from Russia?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,129.8,20,20,,comparison,2,f1_score,0.0,,
q_4128,"Robert Allen ""Bob"" Case is best known for inspiring the naming of which initial area of low pressure developed off Atlantic Canada on October 29? ",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,172.6,20,20,,bridge,2,f1_score,0.0,,
q_3340,What film adaptation do both Jerome Bernard and Ira Lewis have in common?,failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2641,0.2641,0.2641,169.5,20,20,,bridge,2,f1_score,0.0,,
q_7365,"Who has more scope of profession, Bob Fosse or Angelina Jolie?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7904,0.7904,171.0,20,20,,comparison,2,f1_score,0.0,,
q_6623,What bitcoin start up featured Erik Voorhees as Director of Marketing?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,129.7,20,20,,bridge,2,f1_score,0.0,,
q_2667,"What is the birth name of the disc jockey that notably used Mark Wirtz's song ""A Touch of Velvet, A Sting of Brass"" on their Radio Caroline show?",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,211.4,20,20,,bridge,2,f1_score,0.0,,
q_2980,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,210.6,20,20,,bridge,2,f1_score,0.0,,
q_1833,In what basketball position does the brother of Saulius Kuzminskas play?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,167.3,20,20,,bridge,2,f1_score,0.0,,
q_6508,Which gaming console was both Yakuza Kiwami and Yakuza 0 released on?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,167.2,20,20,,bridge,2,f1_score,0.0,,
q_4032,Which film was released first out of The Hunchback of Notre Dame and Miracle of the White Stallions?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7602,170.1,20,20,,comparison,2,f1_score,0.0,,
q_6771,"What was built near the residential neighborhood of Ramsay, Calgary in 1983?",failed,0.0588,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.147,168.9,20,20,,bridge,2,f1_score,0.0,,
q_5203,Tommy Swerdlow co-wrote the screenplay of what film directed by Jon Turteltaub?,failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,0.5,0.5,0.0,0.0,0.2641,0.2641,0.2641,173.3,20,20,,bridge,2,f1_score,0.0,,
q_6280,Of what county is the city 7 miles east of Trace State Park the seat?,failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.2184,0.3627,225.1,20,20,,bridge,2,f1_score,0.0,,
q_176,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.9,20,20,,bridge,2,f1_score,0.0,,
q_1712,"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard Colle",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,268.1,20,20,,bridge,2,f1_score,0.0,,
q_3388,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.8,20,20,,comparison,2,f1_score,0.0,,
q_2543,"The subject of McGinniss' 1983 book ""Fatal Vision"" was convicted of murder in what year?",failed,0.1429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2044,0.2044,180.5,20,20,,bridge,2,f1_score,0.0,,
q_2893,"Which American Director doubled as a choreographer also, Stanley Kubrick or Kenny Ortega?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,179.2,20,20,,comparison,2,f1_score,0.0,,
q_6613,Lou Pai is a former executive of an energy company that went bankrupt in what year?,failed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2641,0.4575,0.4575,180.7,20,20,,bridge,2,f1_score,0.0,,
q_854,What religion is the composer for India's first science fiction film series?,failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133.1,20,20,,bridge,2,f1_score,0.0,,
q_4865,Which battle took place first out of the Battle of the Ch'ongch'on River and the Battle of Tarawa?,failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3066,0.5438,0.5438,0.5438,180.1,20,20,,comparison,2,f1_score,0.0,,
q_102,What year was the brother of this first round draft pick by the Washington Redskins drafted?,failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.2184,0.2184,135.7,20,20,,bridge,2,f1_score,0.0,,
q_3235,Which them park is host to both the Back to the Future Rid and The Simpsons Ride?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,179.7,20,20,,bridge,2,f1_score,0.0,,
q_5498,"When was the band who composited ""Discipline"" formed?",failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,134.7,20,20,,bridge,2,f1_score,0.0,,
q_1666,Did the Sandy and Beaver Canal remain operational until a later date than the Los Angeles Aqueduct?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8316,0.8316,181.3,20,20,,comparison,2,f1_score,0.0,,
q_4240,Who directed the 1940 film in which John Arledge appeared?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,136.2,20,20,,bridge,2,f1_score,0.0,,
q_4787,Are Mirpur University of Science and Technology and University of Debrecen both Universities located outside of the United States?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8066,0.8066,179.4,20,20,,comparison,2,f1_score,0.0,,
q_3042,"which American actress, singer, and songwriter too the tour of  I Stand tour ",failed,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,269.9,20,20,,bridge,2,f1_score,0.0,,
q_3620,Grounded Vindaloop is an episode from an animated television series that had this many episodes in its eighteenth season?,failed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3066,0.3066,0.3066,0.3066,224.0,20,20,,bridge,2,f1_score,0.0,,
q_1611,How many consecutive years had the Serie A been comprised of 18 teams when Hernan Crespo got injured?,failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.403,0.403,178.6,20,20,,bridge,2,f1_score,0.0,,
q_4233,What British made dance competition television series franchise did Claudia Albertario appear on?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7602,136.4,20,20,,bridge,2,f1_score,0.0,,
q_5948,How many Grammy awards were won by an album named after the Joni Mitchell song from Love Actually?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8175,0.8175,233.8,20,20,,bridge,2,f1_score,0.0,,
q_1011,"What award does Crystal Palace F.C. present, first won by John McCormick and most recently by Wilfried Zaha?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7632,221.9,20,20,,bridge,2,f1_score,0.0,,
q_754,"Which was published more frequently, Popular Science or Girlfriends?",failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.755,178.0,20,20,,comparison,2,f1_score,0.0,,
q_592,"In what year did the actor who starred in the TV Land original series ""The Soul Man"" host the Black Movie Awards?",failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.3869,0.3869,0.3869,0.5579,220.9,20,20,,bridge,2,f1_score,0.0,,
q_5683,The Robey-Peters Gun-Carrier was built at a commuter village with at population of what at the 2001 census?,failed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,223.7,20,20,,bridge,2,f1_score,0.0,,
q_3681,"This American is best known for his work on such Disney animated films as ""Beauty and the Beast"" and a 1996 American animated musical drama film whose plot centers on who?",failed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.4118,0.4118,267.7,20,20,,bridge,2,f1_score,0.0,,
q_2703,In what part of England is John Folwes' country house located?,failed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,177.9,20,20,,bridge,2,f1_score,0.0,,
q_1419,Richard Münch portrayed the German general who served in what capacity during WWII in the 1970 movie Patton?,failed,0.05,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.1396,176.9,20,20,,bridge,2,f1_score,0.0,,
