query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,lightrag_mode,kg_fallback,kg_entities_count,kg_relations_count,kg_chunk_keyword_matches,kg_synthesis_used,kg_synthesis_error,expected_response,generated_response
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,214.5,20,10,,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.5,1.0,hybrid,,20,30,37,true,,a British composer,British
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,214.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,17,30,34,false,timeout,Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,252.3,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,25,30,39,true,,South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,182.0,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,10,30,35,true,,Bury St Edmunds,Suffolk
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,182.5,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,0.0,hybrid,,10,30,31,true,,1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,180.1,20,10,,1.0,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,10,30,32,true,,France.,Charles de Gaulle Airport
q_150,What occupation was shared by David Yates and Pietro Germi?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7575,217.7,20,10,,0.5,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,hybrid,,20,30,27,true,,director,director
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,214.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,30,true,,Noel Gallagher,Noel Gallagher
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,215.5,20,10,,1.0,1.0,bridge,2,f1_score,0.8571,0.0,,1.0,hybrid,,20,30,35,true,,"Grammar, logic, and rhetoric","grammar, logic, rhetoric"
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.9,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,30,false,timeout,Harry F. Sinclair,Harry F. Sinclair
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,249.7,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,29,30,33,true,,bass,bass
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.755,180.4,20,10,,0.5,1.0,bridge,2,f1_score,0.8,0.0,,1.0,hybrid,,10,30,25,false,timeout,Linda Maria Ronstadt,Linda Ronstadt
