query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,lightrag_mode,kg_fallback,kg_entities_count,kg_relations_count,kg_chunk_keyword_matches,kg_synthesis_used,kg_synthesis_error,expected_response,generated_response
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.3066,0.3066,0.3066,0.4723,212.6,20,10,,0.5,1.0,bridge,2,f1_score,0.6667,0.0,,1.0,hybrid,,20,30,37,true,,an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,178.5,20,10,,0.5,1.0,bridge,2,f1_score,0.8571,0.0,,0.0,hybrid,,10,30,38,true,,the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,247.8,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,24,30,31,true,,Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,211.8,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,19,30,26,true,,tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.8316,0.8316,248.0,20,10,,1.0,1.0,bridge,2,f1_score,0.5,0.0,,1.0,hybrid,,23,30,35,true,,The Tugurt language,Tugurt
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,213.9,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,31,true,,Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,0.3333,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3066,0.5706,0.5706,0.5706,213.6,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,17,30,32,true,,2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,1.0,1.0,0.0,0.3869,0.3869,0.5803,0.5803,281.7,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,27,30,42,true,,Oliver Parker,Oliver Parker
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,212.9,20,10,,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,0.8,hybrid,,18,30,37,true,,a British composer,United Kingdom
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,249.3,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,26,30,35,true,,Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8503,0.8503,0.8503,248.4,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,23,30,38,true,,South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,178.1,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,10,30,38,true,,Bury St Edmunds,London
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,1.0,1.0,0.6131,0.6131,0.6131,0.7701,178.2,20,10,,0.5,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,34,true,,1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.3869,0.3869,0.3869,0.5264,179.0,20,10,,0.5,1.0,bridge,2,f1_score,0.0,0.0,,1.0,hybrid,,10,30,35,true,,France.,Charles de Gaulle Airport
q_150,What occupation was shared by David Yates and Pietro Germi?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,0.5,0.0,0.3869,0.3869,0.3869,0.3869,213.4,20,10,,0.5,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,hybrid,,20,30,29,true,,director,director
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,281.0,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,20,30,41,true,,Noel Gallagher,Noel Gallagher
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,214.0,20,10,,1.0,1.0,bridge,2,f1_score,0.8571,0.0,,1.0,hybrid,,20,30,36,true,,"Grammar, logic, and rhetoric","grammar, logic, rhetoric"
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177.5,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,1.0,hybrid,,10,30,31,true,,Harry F. Sinclair,Harry F. Sinclair
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,215.2,20,10,,1.0,1.0,bridge,2,f1_score,1.0,1.0,,0.1,hybrid,,19,30,31,true,,bass,bass
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,211.3,20,10,,0.5,1.0,bridge,2,f1_score,0.8,0.0,,1.0,hybrid,,10,30,32,true,,Linda Maria Ronstadt,Linda Ronstadt
