query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,graph_candidates,vector_candidates,graph_only_candidates,graph_resolved,query_keywords,expected_response,generated_response
q_1106,Which Captain launched the attack which led to more casualties than any other incident in the war fought between the settlers of the nascent colony of New Netherland and the native Lenape population?,completed,0.1667,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.403,0.403,146.5,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,30,20,20,20,"{""low"": [""New Netherland"", ""Lenape""], ""high"": [""colonial war"", ""maximum casualties""]}",Captain John Underhill,John Underhill
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6241,0.6241,0.6241,76.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,42,20,37,37,"{""low"": [""Emilio Estevez"", ""Nightmares""], ""high"": [""film"", ""year""]}",The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,85.8,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,31,20,28,28,"{""low"": [""Eric S. Pistorius"", ""business""], ""high"": [""business concept"", ""career transition""]}",to ensure wide visibility and understanding of cases in a region,law firm
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,96.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,15,20,13,13,"{""low"": [""Lingnan Fine Arts Museum""], ""high"": [""geographic relationship"", ""distance""]}",Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,0.2,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2372,0.4416,0.4416,108.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,39,20,32,32,"{""low"": [""Stefan Edberg"", ""Édouard Roger-Vasselin""], ""high"": [""tennis career achievements"", ""tournament win comparison""]}",yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,0.125,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.1934,0.333,123.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,41,20,33,33,"{""low"": [""Jason Regler"", ""flashing wristbands""], ""high"": [""creative inspiration"", ""music technology""]}",an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5,1.0,1.0,0.0,0.0,0.2641,0.4825,0.4825,103.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.8571,0.0,0.0,1.0,33,20,26,26,"{""low"": [""The Soul of Buddha"", ""1918"", ""borough""], ""high"": [""cinema"", ""romance"", ""historical context""]}",the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,70.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,31,20,27,27,"{""low"": [""Blackzilians"", ""Middleweight"", ""Ultimate Fighting Championship""], ""high"": [""martial arts"", ""sports competition""]}",Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,0.0,0.6934,0.6934,0.6934,0.6934,63.1,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,25,20,21,21,"{""low"": [""Villa Unión"", ""Sinaloa""], ""high"": [""geography"", ""administrative divisions""]}",tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,74.0,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,0.0,1.0,15,20,11,11,"{""low"": [""Tamashek"", ""Libyco-Berber script"", ""Tumzabt"", ""Teggargrent""], ""high"": [""Berber languages"", ""ancient scripts""]}",The Tugurt language,Tugurt
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6241,0.6241,0.6241,72.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,44,20,35,35,"{""low"": [""British Secret Service"", ""missionary""], ""high"": [""fictional character"", ""inspiration""]}",Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,0.5,0.5,1.0,0.0,0.3869,0.3869,0.3869,0.5264,88.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,40,20,36,36,"{""low"": [""Phillip Pullman"", ""Lyra Belacqua""], ""high"": [""parallel universe"", ""audio adaptation""]}",2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,0.25,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.5013,0.5013,0.5013,68.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,47,20,37,37,"{""low"": [""second film"", ""British series"", ""James Bond"", ""Rowan Atkinson"", ""Mr. Bean""], ""high"": [""action comedy"", ""parody"", ""secret agent genre"", ""British film""]}",Oliver Parker,Oliver Parker
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6241,0.6241,0.6241,112.7,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.5,1.0,40,20,32,32,"{""low"": [""George Gershwin"", ""Judith Weir""], ""high"": [""composer"", ""nationality""]}",a British composer,British
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,69.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,15,20,13,13,"{""low"": [""Juan Manuel Márquez"", ""WBO""], ""high"": [""boxing"", ""family""]}",Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,0.5,0.0,1.0,1.0,1.0,1.0,0.0,0.5,1.0,1.0,1.0,0.0,0.3869,0.6509,0.6509,0.6509,76.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,41,20,33,33,"{""low"": [""The Running Man Brothers"", ""Kim Jong-kook"", ""South Korea""], ""high"": [""pop duo"", ""origin""]}",South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,104.4,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,41,20,38,38,"{""low"": [""Ruddles Brewery""], ""high"": [""ownership structure"", ""geographic location""]}",Bury St Edmunds,Bury St Edmunds
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,77.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,41,20,39,39,"{""low"": [""Lisa Simpson""], ""high"": [""character origins"", ""creator background""]}",1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,0.1429,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.5,1.0,0.0,0.0,0.0,0.2044,0.3754,137.9,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,52,20,41,41,"{""low"": [""Eagle Aviation"", ""international airport""], ""high"": [""airport location"", ""wet lease operations""]}",France.,"Paris, France"
