query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,expected_response,generated_response
q_6953,In which film did Emilio Estevez star in in the same year as Nightmares,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.4,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,The Outsiders,The Outsiders
q_2375,What was the concept of the business Eric S .Pistorius worked for after being an attorney?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,141.2,20,20,,bridge,2,f1_score,0.0,0.0,,0.1,to ensure wide visibility and understanding of cases in a region,legal services
q_5129,Which port city lies approximately 25 km north of the Lingnan Fine Arts Museum?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,138.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Keelung,Keelung
q_4491,Has Stefan Edberg won more events than  Édouard Roger-Vasselin?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,188.1,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.2,yes,yes
q_720," Jason Regler, stated that he had the idea for the flashing wristbands during a song built around which instrument ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.0,1.0,1.0,0.6131,0.8772,0.8772,0.8772,186.9,20,20,,bridge,2,f1_score,0.6667,0.0,,1.0,an organ,organ
q_1205, The Soul of Buddha is a 1918 American silent romance film shot in a borough  that is the western terminus of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,186.0,20,20,,bridge,2,f1_score,0.8571,0.0,,1.0,the George Washington Bridge,George Washington Bridge
q_5136,"Which ""Blackzilians"" fighter is currently competing in the Middleweight division of Ultimate Fighting Championship?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,231.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Vitor Belfort,Vitor Belfort
q_4151,"Were was the Mexican state after which there is Villa Unión, Sinaloa located? ",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,222.1,20,20,,bridge,2,f1_score,0.0,0.0,,1.0,tip of the Baja California,Sinaloa
q_4456,"What language, traditionally written with the ancient Libyco-Berber script, is closely related to the Tumzabt and Teggargrent languages?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,226.0,20,20,,bridge,2,f1_score,0.5,0.0,,1.0,The Tugurt language,Tugurt
q_6054,Who is the fictional head of a British Secret Service division and for which a one-time missionary was the inspiration for?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.0,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Q,Q
q_7110,Phillip Pullman's book set in a parallel universe featuring a character named Lyra Belacqua was put into audio in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,2002,2002
q_4166,Who directed the second film in a British series of action comedy film parodying the James Bond secret agent genre with comedy similar to Rowan Atkinson's Mr. Bean character?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,309.3,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Oliver Parker,Oliver Parker
q_1564,George Gershwin is an American Composer and Judith Weir is a composer from which country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.0,20,20,,comparison,2,accuracy,0.0,0.0,0.5,1.0,a British composer,British
q_6694,What Was the name of Juan Manuel Márquez's  WBO champion holding younger brother?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,178.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Rafael Márquez,Rafael Márquez
q_3802,The Running Man Brothers is a South Korean pop duo. Kim Jong-kook is one member and he is from what country?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,224.4,20,20,,bridge,2,f1_score,1.0,1.0,,0.6,South Korea,South Korea
q_7043,Ruddles Brewery is owned by a pub retailer and brewer based in what city?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.3,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Bury St Edmunds,Bury St Edmunds
q_4109,The creator of the Lisa Simpson character was born in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,138.8,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,1954,1954
q_4368,Where is the international airport which Eagle Aviation wet lease operations were based in located ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,1.0,1.0,1.0,0.6131,0.6131,0.7977,0.7977,181.5,20,20,,bridge,2,f1_score,0.6667,0.0,,0.5,France.,"Paris, France"
q_150,What occupation was shared by David Yates and Pietro Germi?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.7,20,20,,comparison,2,accuracy,1.0,1.0,1.0,1.0,director,director
q_6058,Who sang lead vocals on the Oasis hit single which had an acoustic debut in drummer Tony McCarroll's last concert ? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Noel Gallagher,Noel Gallagher
q_1653,"St. John's College, Belize offers an education in a tradition in which what three subjects were the core?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.2,20,20,,bridge,2,f1_score,0.8571,0.0,,1.0,"Grammar, logic, and rhetoric","grammar, logic, rhetoric"
q_4619,Robert Earl Holding owned an oil company that was originally founded by who?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.1,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Harry F. Sinclair,Harry F. Sinclair
q_2179,"What instrument does Duff McKagan play on Macy Gray's single, Kissed It?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,222.4,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,bass,bass
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,139.2,20,20,,bridge,2,f1_score,0.8,0.0,,1.0,Linda Maria Ronstadt,Linda Ronstadt
q_3882,In which six Western European territories have Celtic languages or cultural traits survived?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.2,20,20,,bridge,2,f1_score,0.9412,0.0,,1.0,"Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.","Brittany, Cornwall, Ireland, Isle of Man, Scotland, Wales"
q_2951,Who is known for composing  American Beauty: Original Motion Picture Score and many other film scores?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.2,20,20,,bridge,2,f1_score,0.8,0.0,,1.0,Thomas Montgomery Newman,Thomas Newman
q_224,What film was written and directed by Joby Harold with music written by Samuel Sim?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,177.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Awake,Awake
q_902,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,265.3,20,20,,bridge,2,f1_score,0.9091,0.0,,1.0,"the ""First Family of Competitive Eating""",First Family of Competitive Eating
q_1009,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220.8,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Argentinian,Argentinian
q_6856,What company produced the 1978 movie based on a book written by a radio playwright and children's book author born in 1900?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175.6,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Walt Disney Productions,Walt Disney Productions
q_7251,How many students were enrolled in American professional bowler Chris Barnes' high school in the 2010-2011 school year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.8,20,20,,bridge,2,f1_score,0.6667,0.0,,1.0,"1,840 students",1840
q_654,"Which canal, Miami Canal or Dundee Canal, also supplies hydro-power and water for manufacturing?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.6,20,20,,comparison,2,accuracy,1.0,1.0,1.0,1.0,Dundee Canal,Dundee Canal
q_6395,What is the middle name of the singer who recorded Would You Like to Take a Walk? with Louis Armstrong in 1951,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.6,20,20,,bridge,2,f1_score,1.0,1.0,,0.0,Jane,Jane
q_1979,What was Richard Connell's best known work The Hounds of Zaroff also published as?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,The Most Dangerous Game,The Most Dangerous Game
q_2395,The Stone Book series is set in what country? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,136.3,20,20,,bridge,2,f1_score,0.5,0.0,,0.1,North West England,England
q_3048,Are both Jonathan Marray and Wayne Black British?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.3,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.2,no,no
q_4120,Sporobolus and Zea are in the same what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.7,20,20,,comparison,2,accuracy,0.0,0.0,0.6667,1.0,family,grass family
q_5848,Are Mick Jagger and Brett Scallions both musicians?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.0,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.1,yes,yes
q_2923,"When did Senator Ted Kennedy helped dedicate a new room at the location to his maternal grandfather, John F. Fitzgerald.",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,180.1,20,20,,bridge,2,f1_score,0.3333,0.0,,1.0,St. Patrick's Day in 1988,1988
q_4913,Which 8-year old star of an epistolary novel turned musical by Alice Walker also voiced Frankie Greene in a Disney series?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.3,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Diamond White,Diamond White
q_6818,"Which music group has the most members, DC Talk, or Manchester Orchestra?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.0,20,20,,comparison,2,accuracy,1.0,1.0,1.0,1.0,Manchester Orchestra,Manchester Orchestra
q_680,Orlando Brown is best known for his role as 3J Winslow in an American sitcom that was a spin-off of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.7,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Perfect Strangers,Perfect Strangers
q_37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,141.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,World War II,World War II
q_3201,"Where was the air-cooled version of a weapon system used on the HMAS ""Narani"" found?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.9,20,20,,bridge,2,f1_score,0.9091,0.0,,1.0,World War I fighter aircraft.,Allied World War I fighter aircraft
q_6650,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,141.2,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,BMW X6,BMW X6
q_1606,Did Minersville School District v. Gobitis and Gravel v. United States occur in the same decade?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,192.4,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.0,no,no
q_6481,Yakuza Kiwami is a remake of the first video game in what video game series that is an open world action-adventure beat 'em up video game franchise?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.8,20,20,,bridge,2,f1_score,0.6667,0.0,,1.0,Yakuza,Yakuza series
q_6982, The 1919 Mississippi gubernatorial election Incumbent Democrat was a master of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,filibuster,filibuster
q_4536,"Are both genera Silphium and Heliotropium, genera of flowering plants ?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.7,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.0,yes,yes
q_5693,Mexican Indignados Movement is a response to a war also known as?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,139.2,20,20,,bridge,2,f1_score,0.5714,0.0,,1.0,Mexican War on Drugs,Mexican Drug War
q_4568,Are Harry Everett Smith and Vladimir Danilevich both from Russia?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,221.8,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.0,no,no
q_4128,"Robert Allen ""Bob"" Case is best known for inspiring the naming of which initial area of low pressure developed off Atlantic Canada on October 29? ",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.8,20,20,,bridge,2,f1_score,0.6667,0.0,,1.0,1991 Perfect Storm,the Perfect Storm
q_3340,What film adaptation do both Jerome Bernard and Ira Lewis have in common?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.1,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Chinese Coffee,Chinese Coffee
q_7365,"Who has more scope of profession, Bob Fosse or Angelina Jolie?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.5,20,20,,comparison,2,accuracy,0.0,0.0,0.0,1.0,Robert Louis Fosse,Angelina Jolie
q_6623,What bitcoin start up featured Erik Voorhees as Director of Marketing?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,141.4,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,BitInstant,BitInstant
q_2667,"What is the birth name of the disc jockey that notably used Mark Wirtz's song ""A Touch of Velvet, A Sting of Brass"" on their Radio Caroline show?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.1,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,David Patrick Griffin,David Patrick Griffin
q_2980,Who did Neleus of Scepsis study under in addition to Theophrastus in the Peripatetic school?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.3,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Aristotle,Aristotle
q_1833,In what basketball position does the brother of Saulius Kuzminskas play?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.8,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,small forward,small forward
q_6508,Which gaming console was both Yakuza Kiwami and Yakuza 0 released on?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.3,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,PlayStation 4,PlayStation 4
q_4032,Which film was released first out of The Hunchback of Notre Dame and Miracle of the White Stallions?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.9,20,20,,comparison,2,accuracy,1.0,1.0,1.0,1.0,Miracle of the White Stallions,Miracle of the White Stallions
q_6771,"What was built near the residential neighborhood of Ramsay, Calgary in 1983?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.7,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Scotiabank Saddledome,Scotiabank Saddledome
q_5203,Tommy Swerdlow co-wrote the screenplay of what film directed by Jon Turteltaub?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.2,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Cool Runnings,Cool Runnings
q_6280,Of what county is the city 7 miles east of Trace State Park the seat?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.7,20,20,,bridge,2,f1_score,0.8,0.0,,1.0,"Lee County, Mississippi",Lee County
q_176,"Works by Hanna Leena Kristiina Varis are part of a collection in a museum that houses approximately 65,000 what?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,185.2,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,drawings,drawings
q_1712,"Jennifer Gordon received a bachelor of arts degree from which women's liberal arts college in Cambridge, Massachusetts, and functioned as a female coordinate institution for the all-male Harvard Colle",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,266.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Radcliffe College,Radcliffe College
q_3388,In which U.S. state are MedStar Georgetown University Hospital and Providence Hospital?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,184.7,20,20,,comparison,2,accuracy,1.0,1.0,1.0,1.0,District of Columbia,District of Columbia
q_2543,"The subject of McGinniss' 1983 book ""Fatal Vision"" was convicted of murder in what year?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.2,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,1979,1979
q_2893,"Which American Director doubled as a choreographer also, Stanley Kubrick or Kenny Ortega?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,181.5,20,20,,comparison,2,accuracy,0.0,0.0,0.2353,1.0,"Kenneth John ""Kenny"" Ortega (born April 18, 1950) is an American producer, director, and choreographer.",Kenny Ortega
q_6613,Lou Pai is a former executive of an energy company that went bankrupt in what year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.9,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,2001,2001
q_854,What religion is the composer for India's first science fiction film series?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,175.9,20,20,,bridge,2,f1_score,0.0,0.0,,1.0,Hindi,Hindu
q_4865,Which battle took place first out of the Battle of the Ch'ongch'on River and the Battle of Tarawa?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,182.8,20,20,,comparison,2,accuracy,0.0,0.0,0.4,1.0,The Battle of Tarawa,Tarawa
q_102,What year was the brother of this first round draft pick by the Washington Redskins drafted?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.4,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,2003,2003
q_3235,Which them park is host to both the Back to the Future Rid and The Simpsons Ride?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,183.6,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,Universal Studios Florida,Universal Studios Florida
q_5498,"When was the band who composited ""Discipline"" formed?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,179.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,1968,1968
q_1666,Did the Sandy and Beaver Canal remain operational until a later date than the Los Angeles Aqueduct?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,187.2,20,20,,comparison,2,accuracy,1.0,1.0,1.0,0.2,no,no
q_4240,Who directed the 1940 film in which John Arledge appeared?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,140.5,20,20,,bridge,2,f1_score,1.0,1.0,,1.0,John Ford,John Ford
