query_id,query_text,status,mrr,hit_at_1,hit_at_3,hit_at_5,hit_at_10,hit_at_20,recall_at_1,recall_at_3,recall_at_5,recall_at_10,recall_at_20,ndcg_at_1,ndcg_at_3,ndcg_at_5,ndcg_at_10,ndcg_at_20,retrieval_time_ms,n_retrieved,n_generation_docs,reranked,gen_recall,gen_hit,question_type,n_expected,primary_metric_type,primary_metric_value,sec_exact_match,sec_f1_score,sec_faithfulness,graph_candidates,vector_candidates,graph_only_candidates,graph_resolved,query_keywords,expected_response,generated_response
q_6444,Which American popular music and country music singer recorded J. D. Souther song ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,0.9197,0.9197,0.9197,0.9197,249.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,40,20,33,33,"{""low"": [""J. D. Souther""], ""high"": [""American popular music"", ""country music"", ""song recording""]}",Linda Maria Ronstadt,Linda Ronstadt
q_3882,In which six Western European territories have Celtic languages or cultural traits survived?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,276.2,20,5,True,1.0,1.0,bridge,2,f1_score,0.9412,0.0,0.0,1.0,20,20,17,17,"{""low"": [], ""high"": [""Celtic languages"", ""cultural traits"", ""Western Europe"", ""survival""]}","Brittany, Cornwall, Ireland, Isle of Man, Scotland and Wales.","Brittany, Cornwall, Ireland, Isle of Man, Scotland, Wales"
q_2951,Who is known for composing  American Beauty: Original Motion Picture Score and many other film scores?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,205.5,20,5,True,1.0,1.0,bridge,2,f1_score,0.8,0.0,0.0,1.0,33,20,26,26,"{""low"": [""American Beauty: Original Motion Picture Score""], ""high"": [""film scoring"", ""soundtrack composition""]}",Thomas Montgomery Newman,Thomas Newman
q_224,What film was written and directed by Joby Harold with music written by Samuel Sim?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,252.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,55,55,"{""low"": [""Joby Harold"", ""Samuel Sim""], ""high"": [""film direction"", ""music composition""]}",Awake,Awake
q_902,"What group did Carlene LeFevre and Rich LeFevre form in Brooklyn, New York City?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,398.5,20,5,True,0.5,1.0,bridge,2,f1_score,0.0,0.0,0.0,1.0,60,20,57,57,"{""low"": [""Carlene LeFevre"", ""Rich LeFevre"", ""Brooklyn"", ""New York City""], ""high"": [""group formation"", ""local community""]}","the ""First Family of Competitive Eating""",none
q_1009,"Michaël Llodra of France, called ""the best volleyer on tour"", defeated Juan Martín del Potro a professional of what nationality?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,311.3,20,5,True,1.0,1.0,bridge,2,f1_score,0.0,0.0,0.0,0.9,57,20,45,45,"{""low"": [""Michaël Llodra"", ""France"", ""Juan Martín del Potro""], ""high"": [""tennis"", ""nationality""]}",Argentinian,Argentine
q_6856,What company produced the 1978 movie based on a book written by a radio playwright and children's book author born in 1900?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,353.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,53,20,50,50,"{""low"": [""company"", ""radio playwright"", ""children's book author born in 1900""], ""high"": [""film adaptation"", ""literary adaptation"", ""media production""]}",Walt Disney Productions,Walt Disney Productions
q_7251,How many students were enrolled in American professional bowler Chris Barnes' high school in the 2010-2011 school year?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,225.0,20,5,True,1.0,1.0,bridge,2,f1_score,0.6667,0.0,0.0,1.0,59,20,55,55,"{""low"": [""Chris Barnes""], ""high"": [""student enrollment"", ""high school education""]}","1,840 students",1840
q_654,"Which canal, Miami Canal or Dundee Canal, also supplies hydro-power and water for manufacturing?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,263.4,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,59,20,51,51,"{""low"": [""Miami Canal"", ""Dundee Canal""], ""high"": [""hydro-power"", ""water for manufacturing""]}",Dundee Canal,Dundee Canal
q_6395,What is the middle name of the singer who recorded Would You Like to Take a Walk? with Louis Armstrong in 1951,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,301.5,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,0.0,60,20,57,57,"{""low"": [""Louis Armstrong"", ""Would You Like to Take a Walk?"", ""1951""], ""high"": [""middle name"", ""music collaboration""]}",Jane,Jane
q_1979,What was Richard Connell's best known work The Hounds of Zaroff also published as?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,238.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,60,20,56,56,"{""low"": [""Richard Connell"", ""The Hounds of Zaroff""], ""high"": [""author"", ""alternative title""]}",The Most Dangerous Game,The Most Dangerous Game
q_2395,The Stone Book series is set in what country? ,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,1.0,0.6131,0.6131,0.6131,0.6131,203.9,20,5,True,0.5,1.0,bridge,2,f1_score,0.5,0.0,0.0,0.8,60,20,58,58,"{""low"": [""The Stone Book series""], ""high"": [""setting"", ""geography""]}",North West England,England
q_3048,Are both Jonathan Marray and Wayne Black British?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,240.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.1,54,20,48,48,"{""low"": [""Jonathan Marray"", ""Wayne Black""], ""high"": [""nationality"", ""citizenship""]}",no,no
q_4120,Sporobolus and Zea are in the same what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,245.1,20,5,True,1.0,1.0,comparison,2,accuracy,0.0,0.0,0.0,1.0,54,20,47,47,"{""low"": [""Sporobolus"", ""Zea""], ""high"": [""taxonomic classification"", ""botanical relationship""]}",family,Poaceae
q_5848,Are Mick Jagger and Brett Scallions both musicians?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,243.8,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,60,20,55,55,"{""low"": [""Mick Jagger"", ""Brett Scallions""], ""high"": [""musician"", ""identity""]}",yes,yes
q_2923,"When did Senator Ted Kennedy helped dedicate a new room at the location to his maternal grandfather, John F. Fitzgerald.",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,259.4,20,5,True,1.0,1.0,bridge,2,f1_score,0.3333,0.0,0.0,1.0,59,20,55,55,"{""low"": [""Senator Ted Kennedy"", ""John F. Fitzgerald""], ""high"": [""political dedication"", ""family legacy""]}",St. Patrick's Day in 1988,1988
q_4913,Which 8-year old star of an epistolary novel turned musical by Alice Walker also voiced Frankie Greene in a Disney series?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,367.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,56,56,"{""low"": [""Alice Walker"", ""Frankie Greene""], ""high"": [""epistolary novel"", ""musical adaptation"", ""voice acting"", ""Disney series""]}",Diamond White,Diamond White
q_6818,"Which music group has the most members, DC Talk, or Manchester Orchestra?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,252.2,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,1.0,60,20,57,57,"{""low"": [""DC Talk"", ""Manchester Orchestra""], ""high"": [""size of music groups"", ""comparison of group membership""]}",Manchester Orchestra,Manchester Orchestra
q_680,Orlando Brown is best known for his role as 3J Winslow in an American sitcom that was a spin-off of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,292.8,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,59,20,56,56,"{""low"": [""Orlando Brown"", ""3J Winslow""], ""high"": [""spin-off"", ""television""]}",Perfect Strangers,Perfect Strangers
q_37,"The Livesey Hal War Memorial commemorates the fallen of which war, that had over 60 million casualties?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,221.0,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,48,20,41,41,"{""low"": [""Livesey Hal War Memorial""], ""high"": [""war memorial"", ""historical war with massive casualties""]}",World War II,World War II
q_3201,"Where was the air-cooled version of a weapon system used on the HMAS ""Narani"" found?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,220.6,20,5,True,1.0,1.0,bridge,2,f1_score,0.5,0.0,0.0,1.0,53,20,41,41,"{""low"": [""HMAS Narani""], ""high"": [""air-cooled weapon system"", ""naval vessel location""]}",World War I fighter aircraft.,Allied fighter aircraft
q_6650,"BMW X5 is a mid-size version that was produced alongside which newer model, produced in 2009?",completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,280.1,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,51,20,46,46,"{""low"": [""BMW X5"", ""2009""], ""high"": [""mid-size version"", ""model comparison""]}",BMW X6,BMW X6
q_1606,Did Minersville School District v. Gobitis and Gravel v. United States occur in the same decade?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,265.8,20,5,True,1.0,1.0,comparison,2,accuracy,1.0,1.0,1.0,0.2,55,20,51,51,"{""low"": [""Minersville School District v. Gobitis"", ""Gravel v. United States""], ""high"": [""Supreme Court cases"", ""temporal comparison""]}",no,no
q_6481,Yakuza Kiwami is a remake of the first video game in what video game series that is an open world action-adventure beat 'em up video game franchise?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,295.2,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,53,20,42,42,"{""low"": [""Yakuza Kiwami"", ""video game series""], ""high"": [""remake"", ""open world action-adventure beat 'em up video game franchise""]}",Yakuza,Yakuza
q_6982, The 1919 Mississippi gubernatorial election Incumbent Democrat was a master of what?,completed,1.0,1.0,1.0,1.0,1.0,1.0,0.5,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,256.6,20,5,True,1.0,1.0,bridge,2,f1_score,1.0,1.0,0.0,1.0,49,20,42,42,"{""low"": [""Mississippi gubernatorial election (1919)"", ""Incumbent Democrat""], ""high"": [""political mastery"", ""gubernatorial elections""]}",filibuster,filibuster
